( Transverse wakefield for ILC 9-cell cavity 18-feb-2005
( For z<6 mm wakes are from equations by Zagorodnov and Weiland, 2003
( For z>6 mm wake supplied by Zagorodnov in private calculation
( #    z[m]           W(z) [V/c/m^2]
417   8.320000e-002   -3.884438e+013
418   8.340000e-002   -3.931123e+013
419   8.360000e-002   -3.976727e+013
420   8.380000e-002   -4.021217e+013
421   8.400000e-002   -4.064570e+013
422   8.420000e-002   -4.106765e+013
423   8.440000e-002   -4.147789e+013
424   8.460000e-002   -4.187639e+013
425   8.480000e-002   -4.226320e+013
426   8.500000e-002   -4.263852e+013
427   8.520000e-002   -4.300265e+013
428   8.540000e-002   -4.335605e+013
429   8.560000e-002   -4.369931e+013
430   8.580000e-002   -4.403310e+013
431   8.600000e-002   -4.435823e+013
432   8.620000e-002   -4.467558e+013
433   8.640000e-002   -4.498603e+013
434   8.660000e-002   -4.529049e+013
435   8.680000e-002   -4.558983e+013
436   8.700000e-002   -4.588484e+013
437   8.720000e-002   -4.617623e+013
438   8.740000e-002   -4.646459e+013
439   8.760000e-002   -4.675040e+013
440   8.780000e-002   -4.703399e+013
441   8.800000e-002   -4.731557e+013
442   8.820000e-002   -4.759521e+013
443   8.840000e-002   -4.787290e+013
444   8.860000e-002   -4.814852e+013
445   8.880000e-002   -4.842189e+013
446   8.900000e-002   -4.869285e+013
447   8.920000e-002   -4.896120e+013
448   8.940000e-002   -4.922677e+013
449   8.960000e-002   -4.948946e+013
450   8.980000e-002   -4.974921e+013
451   9.000000e-002   -5.000604e+013
452   9.020000e-002   -5.025999e+013
453   9.040000e-002   -5.051118e+013
454   9.060000e-002   -5.075973e+013
455   9.080000e-002   -5.100581e+013
456   9.100000e-002   -5.124959e+013
457   9.120000e-002   -5.149117e+013
458   9.140000e-002   -5.173070e+013
459   9.160000e-002   -5.196823e+013
460   9.180000e-002   -5.220383e+013
461   9.200000e-002   -5.243748e+013
462   9.220000e-002   -5.266917e+013
463   9.240000e-002   -5.289885e+013
464   9.260000e-002   -5.312645e+013
465   9.280000e-002   -5.335193e+013
466   9.300000e-002   -5.357528e+013
467   9.320000e-002   -5.379648e+013
468   9.340000e-002   -5.401554e+013
469   9.360000e-002   -5.423256e+013
470   9.380000e-002   -5.444761e+013
471   9.400000e-002   -5.466082e+013
472   9.420000e-002   -5.487231e+013
473   9.440000e-002   -5.508224e+013
474   9.460000e-002   -5.529073e+013
475   9.480000e-002   -5.549793e+013
476   9.500000e-002   -5.570397e+013
477   9.520000e-002   -5.590898e+013
